Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,source
FDC29,8.39,Regular,0.024304264,Frozen Foods,114.0176,OUT018,2009,Medium,Tier 3,Supermarket Type2,1488.7288,train
FDY58,11.65,Low Fat,0.040144377,Snack Foods,228.9694,OUT017,2007,Small,Tier 2,Supermarket Type1,6622.7126,train
FDR59,14.5,Regular,0.063851475,Breads,260.4594,OUT035,2004,Small,Tier 2,Supermarket Type1,3139.9128,train
FDS03,7.825,Low Fat,0.079243005,Meat,65.8826,OUT027,1985,Medium,Tier 3,Supermarket Type3,1614.565,train
FDR43,18.2,Low Fat,0.161355122,Fruits and Vegetables,38.319,OUT013,1987,High,Tier 3,Supermarket Type1,585.904,train
FDZ25,15.7,Regular,0.02748331,Canned,169.379,OUT027,1985,Medium,Tier 3,Supermarket Type3,5602.707,train
NCN26,10.85,Low Fat,0.028738058,Household,117.1808,OUT045,2002,Small,Tier 2,Supermarket Type1,703.0848,train
FDO38,17.25,Low Fat,0.073135768,Canned,77.2986,OUT018,2009,Medium,Tier 3,Supermarket Type2,1012.6818,train
FDP28,13.65,Regular,0.081096613,Frozen Foods,261.2936,OUT017,2007,Small,Tier 2,Supermarket Type1,3131.9232,train
FDG31,12.15,Low Fat,0.063430788,Meat,65.4826,OUT010,1998,Small,Tier 3,Grocery Store,258.3304,train
FDI45,13.1,LF,0.037549969,Fruits and Vegetables,176.1054,OUT013,1987,High,Tier 3,Supermarket Type1,4027.4242,train
NCS54,13.6,Low Fat,0.016726506,Household,176.037,OUT010,1998,Small,Tier 3,Grocery Store,352.874,train
FDE17,20.1,Regular,0.054565932,Frozen Foods,152.2366,OUT045,2002,Small,Tier 2,Supermarket Type1,2418.1856,train
NCG06,16.35,Low Fat,0.029445361,Household,257.6646,OUT046,1997,Small,Tier 1,Supermarket Type1,2061.3168,train
FDQ57,7.275,Low Fat,0.048932713,Snack Foods,144.476,OUT019,1985,Small,Tier 1,Grocery Store,146.476,train
NCB31,6.235,Low Fat,0.118651919,Household,263.991,OUT035,2004,Small,Tier 2,Supermarket Type1,4207.856,train
NCP29,8.42,Low Fat,0.112728355,Health and Hygiene,65.8168,OUT018,2009,Medium,Tier 3,Supermarket Type2,830.9184,train
NCX29,10.0,Low Fat,0.156094569,Health and Hygiene,144.3102,OUT019,1985,Small,Tier 1,Grocery Store,145.8102,train
FDU37,9.5,Regular,0.104933928,Canned,78.796,OUT018,2009,Medium,Tier 3,Supermarket Type2,1198.44,train
FDM02,12.5,Regular,0.12341737,Canned,86.0198,OUT010,1998,Small,Tier 3,Grocery Store,87.2198,train
FDN16,12.6,Regular,0.062700289,Frozen Foods,102.199,OUT046,1997,Small,Tier 1,Supermarket Type1,1960.781,train
FDR46,16.85,Low Fat,0.139417654,Snack Foods,147.476,OUT046,1997,Small,Tier 1,Supermarket Type1,2929.52,train
FDE50,19.7,Regular,0.01612717,Canned,189.3556,OUT027,1985,Medium,Tier 3,Supermarket Type3,2253.0672,train
FDL52,6.635,reg,0.077145553,Frozen Foods,39.8506,OUT010,1998,Small,Tier 3,Grocery Store,75.9012,train
FDQ49,20.2,Regular,0.039215075,Breakfast,157.663,OUT013,1987,High,Tier 3,Supermarket Type1,2190.482,train
FDI14,14.1,Low Fat,0.089859642,Canned,140.2496,OUT045,2002,Small,Tier 2,Supermarket Type1,1693.7952,train
FDS16,15.15,Regular,0.066121873,Frozen Foods,145.676,OUT013,1987,High,Tier 3,Supermarket Type1,3661.9,train
FDU15,13.65,Regular,0.026643448,Meat,37.9532,OUT049,1999,Medium,Tier 1,Supermarket Type1,862.8768,train
NCG43,20.2,Low Fat,0.073879939,Household,94.0462,OUT027,1985,Medium,Tier 3,Supermarket Type3,1850.924,train
FDR23,15.85,Low Fat,0.08139146,Breads,177.837,OUT027,1985,Medium,Tier 3,Supermarket Type3,6351.732,train
FDS52,8.89,Low Fat,0.005448005,Frozen Foods,102.1016,OUT027,1985,Medium,Tier 3,Supermarket Type3,3542.056,train
NCP18,12.15,Low Fat,0.028714747,Household,151.9708,OUT018,2009,Medium,Tier 3,Supermarket Type2,3611.2992,train
DRF23,4.61,Low Fat,0.122058364,Hard Drinks,172.8396,OUT027,1985,Medium,Tier 3,Supermarket Type3,7152.0236,train
FDO09,13.5,Regular,0.125528734,Snack Foods,262.191,OUT045,2002,Small,Tier 2,Supermarket Type1,6048.793,train
FDB40,17.5,Regular,0.007555176,Dairy,145.9102,OUT045,2002,Small,Tier 2,Supermarket Type1,2187.153,train
DRK37,5.0,Low Fat,0.077046505,Soft Drinks,189.453,OUT019,1985,Small,Tier 1,Grocery Store,759.012,train
DRN11,7.85,Low Fat,0.162980276,Hard Drinks,145.2444,OUT046,1997,Small,Tier 1,Supermarket Type1,1451.444,train
FDE22,9.695,Low Fat,0.029632784,Snack Foods,159.692,OUT045,2002,Small,Tier 2,Supermarket Type1,958.752,train
FDF04,17.5,Low Fat,0.013634468,Frozen Foods,256.4304,OUT035,2004,Small,Tier 2,Supermarket Type1,1808.3128,train
FDE41,9.195,Regular,0.064376263,Frozen Foods,83.1566,OUT017,2007,Small,Tier 2,Supermarket Type1,1099.2358,train
FDW08,12.1,LF,0.147663025,Fruits and Vegetables,106.028,OUT027,1985,Medium,Tier 3,Supermarket Type3,1810.976,train
NCD54,21.1,Low Fat,0.029003459,Household,143.4786,OUT035,2004,Small,Tier 2,Supermarket Type1,2311.6576,train
FDZ33,10.195,low fat,0.107834541,Snack Foods,146.5076,OUT018,2009,Medium,Tier 3,Supermarket Type2,1330.2684,train
FDO23,17.85,Low Fat,0.146399663,Breads,93.8436,OUT035,2004,Small,Tier 2,Supermarket Type1,1418.154,train
FDN34,15.6,Regular,0.04575559,Snack Foods,167.1132,OUT035,2004,Small,Tier 2,Supermarket Type1,2874.9244,train
FDL39,16.1,Regular,0.063278652,Dairy,182.1318,OUT013,1987,High,Tier 3,Supermarket Type1,2345.6134,train
FDT28,13.3,Low Fat,0.063664998,Frozen Foods,151.6708,OUT049,1999,Medium,Tier 1,Supermarket Type1,3912.2408,train
FDH33,12.85,Low Fat,0.122221269,Snack Foods,45.9428,OUT018,2009,Medium,Tier 3,Supermarket Type2,1274.3412,train
FDA34,11.5,Low Fat,0.014944614,Starchy Foods,171.808,OUT017,2007,Small,Tier 2,Supermarket Type1,5712.564,train
FDZ56,16.25,Low Fat,0.025732114,Fruits and Vegetables,166.4474,OUT035,2004,Small,Tier 2,Supermarket Type1,5390.3168,train
DRH23,14.65,Low Fat,0.171281641,Hard Drinks,54.0614,OUT017,2007,Small,Tier 2,Supermarket Type1,1160.4894,train
NCO18,13.15,Low Fat,0.024646608,Household,177.4686,OUT035,2004,Small,Tier 2,Supermarket Type1,5510.8266,train
DRG27,8.895,Low Fat,0.0,Dairy,42.0138,OUT018,2009,Medium,Tier 3,Supermarket Type2,568.5932,train
FDM28,15.7,Low Fat,0.075661985,Frozen Foods,181.366,OUT010,1998,Small,Tier 3,Grocery Store,179.766,train
NCY41,16.75,Low Fat,0.126765903,Health and Hygiene,35.7532,OUT010,1998,Small,Tier 3,Grocery Store,143.8128,train
FDD21,10.3,Regular,0.030563449,Fruits and Vegetables,114.4176,OUT035,2004,Small,Tier 2,Supermarket Type1,2633.9048,train
FDD44,8.05,Regular,0.078522357,Fruits and Vegetables,257.1646,OUT049,1999,Medium,Tier 1,Supermarket Type1,6183.9504,train
FDP16,18.6,Low Fat,0.039294854,Frozen Foods,246.6802,OUT046,1997,Small,Tier 1,Supermarket Type1,2702.4822,train
FDQ37,20.75,Low Fat,0.089260667,Breakfast,193.4478,OUT046,1997,Small,Tier 1,Supermarket Type1,4843.695,train
NCY05,13.5,Low Fat,0.05510153,Health and Hygiene,37.0874,OUT045,2002,Small,Tier 2,Supermarket Type1,952.7598,train
NCE07,8.18,low fat,0.013127548,Household,142.0154,OUT035,2004,Small,Tier 2,Supermarket Type1,1985.4156,train
DRI51,17.25,Low Fat,0.042233642,Dairy,173.3764,OUT035,2004,Small,Tier 2,Supermarket Type1,2061.3168,train
NCI31,20.0,Low Fat,0.081492092,Others,35.519,OUT045,2002,Small,Tier 2,Supermarket Type1,1025.332,train
FDK60,16.5,Regular,0.0,Baking Goods,96.2068,OUT046,1997,Small,Tier 1,Supermarket Type1,3013.4108,train
FDY12,9.8,Regular,0.14061104,Baking Goods,49.8008,OUT046,1997,Small,Tier 1,Supermarket Type1,809.6128,train
FDO38,17.25,Low Fat,0.072952298,Canned,76.0986,OUT049,1999,Medium,Tier 1,Supermarket Type1,623.1888,train
FDP11,15.85,Low Fat,0.069087481,Breads,218.7166,OUT035,2004,Small,Tier 2,Supermarket Type1,1088.583,train
FDC21,14.6,Regular,0.075215349,Fruits and Vegetables,108.4254,OUT019,1985,Small,Tier 1,Grocery Store,217.0508,train
NCF54,18.0,Low Fat,0.047645037,Household,172.6422,OUT017,2007,Small,Tier 2,Supermarket Type1,2931.5174,train
FDC35,7.435,Low Fat,0.122242847,Starchy Foods,207.5638,OUT027,1985,Medium,Tier 3,Supermarket Type3,4555.4036,train
FDV43,16.0,Low Fat,0.076975118,Fruits and Vegetables,46.2086,OUT049,1999,Medium,Tier 1,Supermarket Type1,490.6946,train
DRE12,4.59,Low Fat,0.070890602,Soft Drinks,111.686,OUT049,1999,Medium,Tier 1,Supermarket Type1,1584.604,train
DRE27,11.85,Low Fat,0.132560174,Dairy,97.2726,OUT013,1987,High,Tier 3,Supermarket Type1,782.9808,train
DRC36,13.0,Regular,0.044767032,Soft Drinks,173.7054,OUT027,1985,Medium,Tier 3,Supermarket Type3,5778.4782,train
FDZ38,17.6,Low Fat,0.007962273,Dairy,174.0422,OUT027,1985,Medium,Tier 3,Supermarket Type3,5173.266,train
NCW42,18.2,LF,0.058799705,Household,220.7456,OUT017,2007,Small,Tier 2,Supermarket Type1,4420.912,train
NCZ18,7.825,low fat,0.186445212,Household,255.5698,OUT045,2002,Small,Tier 2,Supermarket Type1,1522.0188,train
FDL13,13.85,Regular,0.098606543,Breakfast,232.73,OUT019,1985,Small,Tier 1,Grocery Store,932.12,train
NCN18,8.895,Low Fat,0.125222705,Household,113.3544,OUT018,2009,Medium,Tier 3,Supermarket Type2,1006.6896,train
FDI41,18.5,reg,0.062609071,Frozen Foods,148.6418,OUT017,2007,Small,Tier 2,Supermarket Type1,1765.7016,train
FDV22,14.85,Regular,0.009930514,Snack Foods,157.463,OUT013,1987,High,Tier 3,Supermarket Type1,2503.408,train
NCB43,20.2,Low Fat,0.099428487,Household,187.8898,OUT027,1985,Medium,Tier 3,Supermarket Type3,7296.5022,train
FDQ46,7.51,Low Fat,0.103793399,Snack Foods,110.1544,OUT035,2004,Small,Tier 2,Supermarket Type1,2684.5056,train
FDC44,15.6,Low Fat,0.0,Fruits and Vegetables,111.9518,OUT049,1999,Medium,Tier 1,Supermarket Type1,2163.1842,train
FDB22,8.02,Low Fat,0.111419588,Snack Foods,154.3998,OUT035,2004,Small,Tier 2,Supermarket Type1,3383.5956,train
FDV23,11.0,Low Fat,0.106051405,Breads,124.4046,OUT045,2002,Small,Tier 2,Supermarket Type1,2241.0828,train
FDK10,5.785,Regular,0.04016342,Snack Foods,181.166,OUT027,1985,Medium,Tier 3,Supermarket Type3,3415.554,train
FDF05,17.5,Low Fat,0.026925385,Frozen Foods,264.391,OUT045,2002,Small,Tier 2,Supermarket Type1,5259.82,train
FDL33,7.235,Low Fat,0.099962524,Snack Foods,193.8452,OUT046,1997,Small,Tier 1,Supermarket Type1,1957.452,train
FDD20,14.15,Low Fat,0.020614212,Fruits and Vegetables,126.4046,OUT027,1985,Medium,Tier 3,Supermarket Type3,5353.6978,train
NCM54,17.7,Low Fat,0.050692386,Household,125.6678,OUT027,1985,Medium,Tier 3,Supermarket Type3,4832.3764,train
FDW48,18.0,Low Fat,0.008589133,Baking Goods,81.0618,OUT017,2007,Small,Tier 2,Supermarket Type1,1450.1124,train
DRF36,16.1,Low Fat,0.023673342,Soft Drinks,189.0846,OUT018,2009,Medium,Tier 3,Supermarket Type2,5350.3688,train
NCM06,7.475,LF,0.075881475,Household,155.2656,OUT045,2002,Small,Tier 2,Supermarket Type1,2934.8464,train
NCA54,16.5,Low Fat,0.061330521,Household,178.7318,OUT010,1998,Small,Tier 3,Grocery Store,360.8636,train
FDT46,11.35,Low Fat,0.030869612,Snack Foods,49.8008,OUT045,2002,Small,Tier 2,Supermarket Type1,708.4112,train
FDH20,16.1,Regular,0.024944396,Fruits and Vegetables,95.441,OUT035,2004,Small,Tier 2,Supermarket Type1,2220.443,train
FDT38,18.7,Low Fat,0.057654132,Dairy,83.1566,OUT045,2002,Small,Tier 2,Supermarket Type1,1606.5754,train
NCI17,8.645,Low Fat,0.143713508,Health and Hygiene,96.641,OUT045,2002,Small,Tier 2,Supermarket Type1,868.869,train
FDO40,17.1,Low Fat,0.032812669,Frozen Foods,147.1392,OUT017,2007,Small,Tier 2,Supermarket Type1,2237.088,train
FDP12,9.8,Regular,0.045266806,Baking Goods,36.9874,OUT046,1997,Small,Tier 1,Supermarket Type1,705.748,train
FDI44,16.1,Low Fat,0.099747488,Fruits and Vegetables,75.2328,OUT027,1985,Medium,Tier 3,Supermarket Type3,1544.656,train
FDB21,7.475,Low Fat,0.0,Fruits and Vegetables,242.9854,OUT027,1985,Medium,Tier 3,Supermarket Type3,6767.1912,train
FDG16,15.25,Low Fat,0.089742065,Frozen Foods,213.7192,OUT013,1987,High,Tier 3,Supermarket Type1,1078.596,train
NCZ42,10.5,Low Fat,0.011351778,Household,236.5248,OUT017,2007,Small,Tier 2,Supermarket Type1,4029.4216,train
NCJ30,5.82,LF,0.081096613,Household,170.379,OUT017,2007,Small,Tier 2,Supermarket Type1,1018.674,train
FDV49,10.0,Low Fat,0.025827199,Canned,263.2226,OUT046,1997,Small,Tier 1,Supermarket Type1,3700.5164,train
NCO43,5.5,LF,0.0,Others,103.1016,OUT045,2002,Small,Tier 2,Supermarket Type1,2024.032,train
NCF18,18.35,Low Fat,0.148938624,Household,191.9504,OUT010,1998,Small,Tier 3,Grocery Store,767.0016,train
NCX41,19.0,Low Fat,0.0,Health and Hygiene,211.0244,OUT010,1998,Small,Tier 3,Grocery Store,1482.0708,train
FDY11,6.71,Regular,0.029535852,Baking Goods,67.5142,OUT013,1987,High,Tier 3,Supermarket Type1,593.2278,train
FDU46,10.3,Regular,0.011143599,Snack Foods,88.254,OUT049,1999,Medium,Tier 1,Supermarket Type1,1125.202,train
NCI18,18.35,Low Fat,0.014045832,Household,222.7746,OUT049,1999,Medium,Tier 1,Supermarket Type1,1570.6222,train
FDL38,13.8,reg,0.014730322,Canned,90.9172,OUT035,2004,Small,Tier 2,Supermarket Type1,2141.2128,train
FDY60,10.5,Regular,0.026520107,Baking Goods,144.8128,OUT017,2007,Small,Tier 2,Supermarket Type1,2157.192,train
FDF53,20.75,Regular,0.083736551,Frozen Foods,178.7318,OUT049,1999,Medium,Tier 1,Supermarket Type1,3428.2042,train
NCM05,6.825,Low Fat,0.059557164,Health and Hygiene,263.7226,OUT027,1985,Medium,Tier 3,Supermarket Type3,6872.3876,train
FDR13,9.895,Regular,0.028837829,Canned,117.8492,OUT018,2009,Medium,Tier 3,Supermarket Type2,1506.0396,train
FDA49,19.7,Low Fat,0.113669629,Canned,89.0198,OUT019,1985,Small,Tier 1,Grocery Store,174.4396,train
FDY52,6.365,Low Fat,0.012865901,Frozen Foods,59.3536,OUT019,1985,Small,Tier 1,Grocery Store,122.5072,train
FDL02,20.0,Regular,0.182236555,Canned,107.1622,OUT019,1985,Small,Tier 1,Grocery Store,211.7244,train
FDO24,11.1,Low Fat,0.176069023,Baking Goods,156.7604,OUT013,1987,High,Tier 3,Supermarket Type1,1901.5248,train
FDM08,10.1,reg,0.053574075,Fruits and Vegetables,223.7088,OUT035,2004,Small,Tier 2,Supermarket Type1,2684.5056,train
FDJ02,17.2,Regular,0.044063785,Canned,147.2418,OUT019,1985,Small,Tier 1,Grocery Store,294.2836,train
FDW40,14.0,Regular,0.105573769,Frozen Foods,143.9812,OUT018,2009,Medium,Tier 3,Supermarket Type2,1139.8496,train
FDT46,11.35,Low Fat,0.030657949,Snack Foods,50.5008,OUT027,1985,Medium,Tier 3,Supermarket Type3,1012.016,train
FDY08,9.395,Regular,0.172042892,Fruits and Vegetables,139.9838,OUT017,2007,Small,Tier 2,Supermarket Type1,1966.7732,train
FDM21,20.2,Low Fat,0.064052392,Snack Foods,256.1646,OUT027,1985,Medium,Tier 3,Supermarket Type3,7472.2734,train
FDH26,19.25,Regular,0.034531702,Canned,142.2496,OUT027,1985,Medium,Tier 3,Supermarket Type3,2399.5432,train
NCM42,6.13,Low Fat,0.028365524,Household,110.0912,OUT049,1999,Medium,Tier 1,Supermarket Type1,1637.868,train
FDW13,8.5,Low Fat,0.097866209,Canned,51.1324,OUT035,2004,Small,Tier 2,Supermarket Type1,1350.2424,train
FDN04,11.8,Regular,0.01401884,Frozen Foods,178.1344,OUT027,1985,Medium,Tier 3,Supermarket Type3,3747.1224,train
NCD07,9.1,Low Fat,0.0,Household,114.4518,OUT046,1997,Small,Tier 1,Supermarket Type1,1593.9252,train
FDB34,15.25,Low Fat,0.044539371,Snack Foods,85.3198,OUT010,1998,Small,Tier 3,Grocery Store,261.6594,train
FDD09,13.5,Low Fat,0.0,Fruits and Vegetables,179.9976,OUT013,1987,High,Tier 3,Supermarket Type1,4889.6352,train
DRH59,10.8,low fat,0.0,Hard Drinks,72.338,OUT049,1999,Medium,Tier 1,Supermarket Type1,805.618,train
DRN36,15.2,Low Fat,0.050168354,Soft Drinks,95.3752,OUT035,2004,Small,Tier 2,Supermarket Type1,1438.128,train
DRA24,19.35,Regular,0.040154087,Soft Drinks,164.6868,OUT017,2007,Small,Tier 2,Supermarket Type1,1146.5076,train
FDY36,12.3,Low Fat,0.009364957,Baking Goods,74.238,OUT027,1985,Medium,Tier 3,Supermarket Type3,1171.808,train
FDG34,11.5,Regular,0.037539164,Snack Foods,106.9254,OUT013,1987,High,Tier 3,Supermarket Type1,3038.7112,train
FDK43,9.8,Low Fat,0.026992588,Meat,127.302,OUT017,2007,Small,Tier 2,Supermarket Type1,2277.036,train
NCM06,7.475,Low Fat,0.076156245,Household,156.4656,OUT017,2007,Small,Tier 2,Supermarket Type1,2008.0528,train
FDK22,9.8,Low Fat,0.026192765,Snack Foods,215.685,OUT018,2009,Medium,Tier 3,Supermarket Type2,649.155,train
FDF21,10.3,Regular,0.058542509,Fruits and Vegetables,188.353,OUT027,1985,Medium,Tier 3,Supermarket Type3,4364.319,train
FDO33,14.75,Low Fat,0.089686322,Snack Foods,115.3518,OUT018,2009,Medium,Tier 3,Supermarket Type2,1821.6288,train
NCO43,5.5,Low Fat,0.047364617,Others,100.0016,OUT017,2007,Small,Tier 2,Supermarket Type1,708.4112,train
FDX15,17.2,Low Fat,0.156269303,Meat,159.6578,OUT035,2004,Small,Tier 2,Supermarket Type1,3048.6982,train
FDS10,19.2,Low Fat,0.035185588,Snack Foods,181.3318,OUT046,1997,Small,Tier 1,Supermarket Type1,1443.4544,train
FDD46,6.035,Low Fat,0.247321039,Snack Foods,152.3998,OUT019,1985,Small,Tier 1,Grocery Store,153.7998,train
FDV22,14.85,Regular,0.009979271,Snack Foods,155.763,OUT018,2009,Medium,Tier 3,Supermarket Type2,3129.26,train
NCR29,7.565,Low Fat,0.054863459,Health and Hygiene,58.393,OUT018,2009,Medium,Tier 3,Supermarket Type2,509.337,train
FDU34,18.25,Low Fat,0.075620262,Snack Foods,123.8046,OUT017,2007,Small,Tier 2,Supermarket Type1,3486.1288,train
FDZ35,9.6,Regular,0.02236923,Breads,104.799,OUT018,2009,Medium,Tier 3,Supermarket Type2,1341.587,train
FDA26,7.855,Regular,0.073906461,Dairy,218.4482,OUT035,2004,Small,Tier 2,Supermarket Type1,4819.0604,train
FDP38,10.1,Low Fat,0.032283676,Canned,52.2008,OUT017,2007,Small,Tier 2,Supermarket Type1,759.012,train
FDT22,10.395,Low Fat,0.11207602,Snack Foods,58.022,OUT035,2004,Small,Tier 2,Supermarket Type1,659.142,train
FDA50,16.25,Low Fat,0.087668236,Dairy,94.941,OUT017,2007,Small,Tier 2,Supermarket Type1,1737.738,train
FDY10,17.6,Low Fat,0.049067877,Snack Foods,115.6176,OUT046,1997,Small,Tier 1,Supermarket Type1,2519.3872,train
FDC09,15.5,Regular,0.026355345,Fruits and Vegetables,100.8332,OUT045,2002,Small,Tier 2,Supermarket Type1,1537.998,train
FDT19,7.59,Regular,0.145631695,Fruits and Vegetables,172.808,OUT018,2009,Medium,Tier 3,Supermarket Type2,2250.404,train
FDO34,17.7,Low Fat,0.029793955,Snack Foods,167.2816,OUT027,1985,Medium,Tier 3,Supermarket Type3,5704.5744,train
NCV54,11.1,Low Fat,0.033160417,Household,119.6124,OUT049,1999,Medium,Tier 1,Supermarket Type1,2251.7356,train
FDH57,10.895,Low Fat,0.035574413,Fruits and Vegetables,131.4284,OUT027,1985,Medium,Tier 3,Supermarket Type3,5404.9644,train
FDA28,16.1,Regular,0.047801883,Frozen Foods,127.4362,OUT046,1997,Small,Tier 1,Supermarket Type1,2265.0516,train
FDB05,5.155,Low Fat,0.083198341,Frozen Foods,246.0776,OUT046,1997,Small,Tier 1,Supermarket Type1,990.7104,train
FDK45,11.65,Low Fat,0.059281315,Seafood,111.586,OUT019,1985,Small,Tier 1,Grocery Store,339.558,train
DRH01,17.5,Low Fat,0.171417316,Soft Drinks,173.0738,OUT019,1985,Small,Tier 1,Grocery Store,347.5476,train
FDY52,6.365,Low Fat,0.007348286,Frozen Foods,62.8536,OUT046,1997,Small,Tier 1,Supermarket Type1,796.2968,train
FDR48,11.65,LF,0.0,Baking Goods,152.6024,OUT035,2004,Small,Tier 2,Supermarket Type1,303.6048,train
FDY15,18.25,Regular,0.170795745,Dairy,154.463,OUT035,2004,Small,Tier 2,Supermarket Type1,2190.482,train
FDM51,11.8,Regular,0.025966531,Meat,102.2674,OUT049,1999,Medium,Tier 1,Supermarket Type1,2444.8176,train
FDR43,18.2,Low Fat,0.161489509,Fruits and Vegetables,37.619,OUT046,1997,Small,Tier 1,Supermarket Type1,366.19,train
FDW09,13.65,reg,0.025899245,Snack Foods,81.1302,OUT013,1987,High,Tier 3,Supermarket Type1,792.302,train
FDV44,8.365,Regular,0.039906377,Fruits and Vegetables,191.3188,OUT049,1999,Medium,Tier 1,Supermarket Type1,1713.7692,train
DRH37,17.6,Low Fat,0.072864869,Soft Drinks,165.2526,OUT019,1985,Small,Tier 1,Grocery Store,822.263,train
FDZ47,20.7,Regular,0.079419755,Baking Goods,99.8042,OUT049,1999,Medium,Tier 1,Supermarket Type1,1488.063,train
NCP43,17.75,Low Fat,0.03050705,Others,180.366,OUT046,1997,Small,Tier 1,Supermarket Type1,2336.958,train
FDL26,18.0,Low Fat,0.073490977,Canned,157.3972,OUT018,2009,Medium,Tier 3,Supermarket Type2,778.986,train
DRM35,9.695,Low Fat,0.070843019,Hard Drinks,177.7344,OUT017,2007,Small,Tier 2,Supermarket Type1,1605.9096,train
FDM39,6.42,Low Fat,0.053688479,Dairy,178.3002,OUT018,2009,Medium,Tier 3,Supermarket Type2,2328.3026,train
DRD15,10.6,Low Fat,0.056911107,Dairy,233.9642,OUT045,2002,Small,Tier 2,Supermarket Type1,3717.8272,train
NCK06,5.03,Low Fat,0.014472516,Household,122.0756,OUT010,1998,Small,Tier 3,Grocery Store,121.1756,train
FDV04,7.825,Regular,0.150319469,Frozen Foods,156.9288,OUT045,2002,Small,Tier 2,Supermarket Type1,1571.288,train
FDG46,8.63,Regular,0.032750291,Snack Foods,112.1518,OUT027,1985,Medium,Tier 3,Supermarket Type3,5351.0346,train
FDO19,17.7,Regular,0.016622448,Fruits and Vegetables,50.2034,OUT049,1999,Medium,Tier 1,Supermarket Type1,1166.4816,train
NCN05,8.235,Low Fat,0.014482153,Health and Hygiene,182.295,OUT049,1999,Medium,Tier 1,Supermarket Type1,3661.9,train
DRA12,11.6,Low Fat,0.0,Soft Drinks,141.6154,OUT045,2002,Small,Tier 2,Supermarket Type1,3829.0158,train
FDJ02,17.2,Regular,0.025205909,Canned,149.1418,OUT049,1999,Medium,Tier 1,Supermarket Type1,1177.1344,train
NCK17,11.0,Low Fat,0.037971697,Health and Hygiene,38.948,OUT045,2002,Small,Tier 2,Supermarket Type1,519.324,train
FDO58,19.6,Low Fat,0.039544237,Snack Foods,163.6526,OUT013,1987,High,Tier 3,Supermarket Type1,1151.1682,train
FDB22,8.02,Low Fat,0.111613921,Snack Foods,152.6998,OUT049,1999,Medium,Tier 1,Supermarket Type1,3383.5956,train
FDG33,5.365,Regular,0.140524691,Seafood,172.7764,OUT045,2002,Small,Tier 2,Supermarket Type1,2233.0932,train
FDK58,11.35,Regular,0.045073782,Snack Foods,101.9016,OUT045,2002,Small,Tier 2,Supermarket Type1,2631.2416,train
DRH49,19.7,Low Fat,0.043168763,Soft Drinks,82.8592,OUT019,1985,Small,Tier 1,Grocery Store,165.1184,train
FDT43,16.35,Low Fat,0.020547951,Fruits and Vegetables,51.2324,OUT046,1997,Small,Tier 1,Supermarket Type1,571.2564,train
NCR38,17.25,Low Fat,0.113694957,Household,253.4724,OUT049,1999,Medium,Tier 1,Supermarket Type1,6040.1376,train
DRI39,13.8,Low Fat,0.097043739,Dairy,57.493,OUT035,2004,Small,Tier 2,Supermarket Type1,1358.232,train
NCZ05,8.485,Low Fat,0.058121214,Health and Hygiene,104.499,OUT035,2004,Small,Tier 2,Supermarket Type1,1238.388,train
FDU21,11.8,reg,0.07665661,Snack Foods,32.3558,OUT013,1987,High,Tier 3,Supermarket Type1,169.779,train
NCP54,15.35,Low Fat,0.035204319,Household,122.873,OUT049,1999,Medium,Tier 1,Supermarket Type1,2832.979,train
NCX29,10.0,Low Fat,0.089333332,Health and Hygiene,145.6102,OUT045,2002,Small,Tier 2,Supermarket Type1,2624.5836,train
FDV01,19.2,Regular,0.0,Canned,153.3314,OUT017,2007,Small,Tier 2,Supermarket Type1,3257.7594,train
NCS17,18.6,Low Fat,0.080956792,Health and Hygiene,95.2436,OUT017,2007,Small,Tier 2,Supermarket Type1,1796.3284,train
NCN07,18.5,Low Fat,0.03391645,Others,130.9284,OUT013,1987,High,Tier 3,Supermarket Type1,1713.7692,train
FDB14,20.25,Regular,0.102704495,Canned,94.312,OUT035,2004,Small,Tier 2,Supermarket Type1,2982.784,train
NCJ18,12.35,Low Fat,0.163910938,Household,119.2124,OUT035,2004,Small,Tier 2,Supermarket Type1,1303.6364,train
FDF57,14.5,Regular,0.058827383,Fruits and Vegetables,172.2448,OUT046,1997,Small,Tier 1,Supermarket Type1,2897.5616,train
DRG01,14.8,Low Fat,0.044840933,Soft Drinks,78.367,OUT013,1987,High,Tier 3,Supermarket Type1,918.804,train
FDA02,14.0,Regular,0.029843736,Dairy,143.9786,OUT018,2009,Medium,Tier 3,Supermarket Type2,866.8716,train
DRJ37,10.8,Low Fat,0.061446997,Soft Drinks,150.4024,OUT017,2007,Small,Tier 2,Supermarket Type1,2884.2456,train
NCP55,14.65,Low Fat,0.011180713,Others,53.8614,OUT013,1987,High,Tier 3,Supermarket Type1,221.0456,train
FDW45,18.0,Low Fat,0.038822077,Snack Foods,147.7418,OUT027,1985,Medium,Tier 3,Supermarket Type3,1618.5598,train
FDK38,6.65,Low Fat,0.053397989,Canned,149.3734,OUT045,2002,Small,Tier 2,Supermarket Type1,296.9468,train
NCZ30,6.59,Low Fat,0.043828293,Household,121.4098,OUT010,1998,Small,Tier 3,Grocery Store,241.0196,train
